artist_ida;artist_idb;cuenta
3-2;"kanye west";1
"3-2-1 activate!";deftones;1
3-o-matic;caater;1
"30 amp fuse";"andy partridge";1
"30 foot fall";$parechange;1
"30 seconds to mars";"linkin park";46
"302 acid";"charlotte sometimes";1
"303 infinity";"amy winehouse";1
30footfall;"the producers";1
30hz;"ben & lex";1
30y;"amorf Ördögök";1
"31 minutos";"instituto mexicano del sonido";2
310;"josh rouse";1
311;radiohead;16
"313 bass mechanics";"bryan ferry";1
31knots;deftones;2
"32 leaves";"breaking benjamin";2
324;"charles mingus";1
32crash;covenant;2
33;"beastie boys";1
33.3;ahleuchatistas;1
33hz;air;1
33miles;"big daddy weave";1
"33rd avenue";16b;1
340ml;aking;1
35007;"fear factory";3
357;"gov't mule";1
3582;"channel two";1
"36 crazy fists";"as blood runs black";1
"36 crazyfists";"in flames";14
"36 crazyfisyts";"killswitch engage";1
360;az;1
365;"crazy l'eggs";1
369;"angela aki";1
"37 stabwoundz";1125;1
"37500 yens";busdriver;1
"386 dx";"foo fighters";1
"38th parallel";#####;1
"39 clocks";bauhaus;1
"3a corporation";"chinese instrumental ensemble";1
"3b lab.☆";"dj food";1
3d;katatonia;1
3ds;"bill withers";1
"3e-kamer & pick pockets";kooks;1
3epkano;beirut;1
3js;"bob sinclar";1
3l;"asian kung-fu generation";1
3lw;"r. kelly";2
3moonboys;65daysofstatic;1
3namassa;"beastie boys";2
3nd;grouper;1
3oh!3;paramore;10
"3rd bass";ac/dc;1
"3rd degree";"boogie pimps";1
"3rd force";"keiko matsui";3
"3rd moon";"andy blueman";1
"3rd room";beyon-d-lusion;1
"3rd storee";beyoncé;1
"3rd strike";shuvel;2
"3rei sud est";o-zone;3
"3s company";"alex smoke";1
3t;"bee gees";1
3tronik;"amon tobin";1
3wkasta;"marc cohn";1
3xklan;tede;2
"3호선 버터플라이";"friedrich gulda";1
4;air;1
"4 a.m.";"arthur fiedler & boston pops orchestra";1
"4 bonjours parties";condor44;1
"4 clubbers";"30 seconds to mars";1
"4 corners";"dj format";1
"4 elements";akon;1
"4 in love";a*teens;1
"4 millie";faithless;1
"4 motion";basshunter;1
"4 non blondes";ac/dc;2
"4 out of 5 doctors";"frank sinatra";1
"4 promille";"stomper 98";3
"4 rising stars";"booty luv";1
"4 strings";"armin van buuren";15
"4 the cause";"gwen stefani";1
"4 wings";"a man called adam";1
"4 Позиции Бруно";"buena vista social club";1
4-ever;"jam project";1
"4.9.0 friedhof chiller";amewu;1
"40 below summer";"dry kill logic";3
"40 cal";"the prodigy";2
"40 cal.";"hell rell";2
"40 glocc";"obie trice";2
"40 grit";blindside;1
"40 thieves";camille;1
"40 winks";"a tribe called quest";3
"400 blows";fantômas;1
"403 forbiddena";"ali project";1
409;2pac;1
"40ft ringo";"cyndi lauper";1
43zla;ballboy;1
44;aiden;1
"44 leningrad";"andrew jackson jihad";1
44magnum;[unknown];1
45;aerosmith;1
"45 dip";"boys like girls";1
"45 grave";"all gone dead";3
45rpm;aaliyah;1
48may;"a day away";1
"4f club";"beats and styles";1
"4ft fingers";"30 seconds to mars";1
4fun;"cliff richard";1
4hero;"the chemical brothers";9
4him;"jars of clay";2
4kuba;apparat;1
4lyn;beatsteaks;5
4mal;"alien sex fiend";1
4mat;"50 hertz";1
4one;"billy idol";1
4taste;"david vendetta";1
4tet;"alice in chains";1
"4th avenue jones";starfield;2
"4th pyramid";atmosphere;1
"4th time around";"chris walla";1
4treck;"abe vigoda";1
4tune;amine;1
4tune500;"12 stones";1
"4ре Апреля";"alai oli";1
5;7раса;1
"5 bugs";"30 seconds to mars";1
"5 chinese brothers";"lucinda williams";1
"5 elementz";"black sheep";1
"5 star grave";"as i lay dying";1
"5 Углов";blink-182;1
5'nizza;"red hot chili peppers";5
"50 caliber";afi;1
"50 cent";"kanye west";43
"50 cent & g unit";"ice cube";1
"50 cent & g-unit";"alchemist project";1
"50 cent & justin timberlake";"above & beyond pres. tranquility base";1
"50 cent ft justin timberlake";"baby ranks (f. notch)";1
"50 cent, eminem, cashis, lloyd banks";basshunter;1
"50 foot wave";"veruca salt";2
"50 hertz";justice;2
"50 lions";"comeback kid";6
"500 ft of pipe";anathema;1
"500 miles to memphis";ac/dc;1
5000;"chris botti";1
"5000 rpm";comadre;1
500mg;65daysofstatic;1
"500won project";elend;1
501;"sukh knight";2
"504 plan";adair;1
505;"doctor butcher";1
5050;"apollo 440";1
509-e;"echo & the bunnymen";1
50footwave;"andrée watters";1
"51 peg";"emilie autumn";1
5150;"darc mind";1
51koodia;disturbed;3
"52nd street";"depeche mode";1
52um;apatia;1
"54 nude honeys";acidman;1
54-40;"arcade fire";1
54-71;"buffalo daughter";1
"55 escape";"stone sour";3
5566;レミオロメン;2
"59 times the pain";crivits;2
5bridges;aeoliah;1
5bugs;"3 doors down";2
5f_55;"skinny puppy";2
5f-x;"agnes kain";1
5ive;mika;2
"5ive's continuum research project";"alice in chains";1
5nizza;placebo;6
"5th element";avain;2
"5th ward boyz";2pac;1
5uu's;amm;1
"6 day riot";"amy winehouse";1
"6 string drag";"dale watson";1
"6 voltios";chiodos;1
6-zylinder;"christina milian";1
6.cadde;"50 cent";1
"60 tigres";babasónicos;2
"60ft dolls";"808 state";1
"63 crayons";"andrew bird";1
"63 monroe";dmz;1
64revolt;portishead;2
65daysofstatic;radiohead;26
"66 boys";"harry gregson-williams";1
666;baracuda;3
"666 aniołów";blitzkid;2
69;"andre walter";1
"69 chambers";"divine heresy";1
"69 charger";"baseball furies";1
"69 danguje";"britney spears";2
"69 fingers";kemuri;1
69db;"adam green";1
6blocc;rusko;2
6cyclemind;gregorian;1
6gig;"ben folds five";1
"6ixth sense";"ada band";1
6pm;"a whisper in the noise";1
"6th sense";"black star";1
7;3;1
"7 angels 7 plagues";"shai hulud";2
"7 blue skies";augustana;1
"7 days away";"adelitas way";1
"7 generations";afi;2
"7 hurtz";adult.;1
"7 notas 7 colores";radiohead;2
"7 paca";mindthings;1
"7 samurai";"amy winehouse";2
"7 seconds";blink-182;3
"7 seconds of love";"abc weapons";1
"7 sharp 9";"10 years";1
"7 shot screamers";"amy winehouse";1
"7 stone lighter";"emilie autumn";1
"7 worlds collide";"clark kent";1
"7 year bitch";"jack off jill";2
"7 year rabbit cycle";beirut;1
"7 years bad luck";"american diary";1
"7 zwerge";"amy winehouse";1
"7 Б";"animal jack";1
"7 раса";dolphin;2
"7-10 split";"a day to remember";1
"7000 dying rats";"against me!";1
7000$;disturbed;5
702;"alanis morissette";2
"713avo amor";"amadou & mariam";1
73shiki;"one ok rock";1
747s;"arctic monkeys";1
"76% uncertain";"born against";1
764-hero;"afro kolektyw";1
777minus111;"3 steps ahead";1
"78 bit";"alex britti";1
"78 rpm";"alice in chains";1
"78 rpms";"bloc party";1
"78 saab";"a perfect circle";1
78plus;"absolute beginner";1
7and5;kitaro;2
7b;"electric light orchestra";1
7bzh;"celestial aeon project";1
7days;katatonia;1
"7er jungs";"böhse onkelz";1
7for4;3;1
7ieben;"liquid neon";1
"7l & esoteric";"jedi mind tricks";4
7oi;"joy division";1
7seconds;"the clash";6
"7th heaven";anouk;1
"7th nemesis";1980;1
7thscene;"arctic monkeys";1
7zuma7;clutch;1
7Б;nightwish;3
7раса;portishead;5
8;[unknown];1
"8 ball";"attack attack!";1
"8 ball and mjg";"(hed) planet earth";1
"8 bark";japanther;1
"8 bit instrumental";"30 seconds to mars";1
"8 bit weapon";"depeche mode";2
"8 eyed spy";"billy bragg";1
"8 foot sativa";"backyard babies";1
"8 wonders";"markus schulz";2
"8-bit boys";"death from above 1979";1
"8°6 crew";"36 crazyfists";1
"800 cherries";boa;1
"800 octane";antiworld;1
801;"henri salvador";1
"808 state";"daft punk";4
80kidz;"basement jaxx";1
"80th disorder";"bullet for my valentine";1
"8½ souvenirs";"green day";1
833-45;"hard corps";1
84;"ayten alpman";1
"86 mentality";mdc;2
"88 fingers louie";"against all authority";3
88-keys;"j dilla";4
88:komaflash;2tall;1
883;"fabrizio de andré";3
89ers;scooter;3
8ball;88-keys;1
"8ball & mjg";"rick ross";3
"8bit betty";"juicy panic";1
"8bit rockers";7000$;1
8eight;"big bang";1
8gb;"big black";1
"8khz mono";"carbon based lifeforms";1
8mm;"depeche mode";2
8otto;"alicia keys";1
8stops7;atmosphere;1
"8th wonder";"adam johnson";1
"9 ball";"breaking benjamin";1
"9 lazy 9";"thievery corporation";8
"9 shocks terror";65daysofstatic;1
"90 day men";!!!;1
"90 degrees south";"mercury rev";1
"91 suite";"avenged sevenfold";1
911;"16 guns";1
"92 kqrs morning show";"cloud cult";1
"95 south";"big bad voodoo daddy";1
969;666;1
97a;"7 seconds";1
"98 degrees";"backstreet boys";2
"98 degrees & stevie wonder";"faith hill";1
"98 mute";alexisonfire;2
"99 posse";"iron maiden";3
995;"bloodhound gang";1
999;nirvana;3
"99th floor elevators";"the beatles";4
9ball;"blood stain child";1
9dw;"gregory and the hawk";1
"9goats black out";deadman;2
9miles2go;anathallo;1
9mm;4lyn;1
"9mm parabellum bullet";capsule;4
"9mm solution";celldweller;1
"9th cloud";apocalyptica;1
"9th prince";"booker t. & the mg's";1
"9th wonder";"the roots";5
"9th wonder & buckshot";az;2
"9th wonder & pete rock";amnesty;1
a;blink-182;2
"a balladeer";"damien rice";3
"a band called pain";apparat;1
"a band of bees";beck;2
"a beautiful lotus";belong;1
"a beautiful machine";"chuck mangione";1
"a billion ernies";"catch 22";1
"a bird a sparrow";"a change of pace";1
"a black rose burial";"amon amarth";2
"a blaze colour";"ensemble pittoresque";1
"a blue ocean dream";"2 unlimited";1
"a boy called joni";"armin van buuren";1
"a boy named thor";"algernon cadwallader";1
"a brand";deus;2
"a breach on heaven";"bullet for my valentine";2
"a breath before surfacing";"all shall perish";2
"a broken moment";"alain bashung";1
"a bullet for pretty boy";"a day to remember";1
"a burning water";5'nizza;1
"a camp";"bruce springsteen";3
"a canorous quintet";"arch enemy";1
"a case of grenada";4lyn;1
"a certain ratio";"a guy called gerald";2
"a challenge of honour";darkwood;2
"a change of pace";"funeral for a friend";6
"a chinese restaurant";brokencyde;1
"a chorus of disapproval";jawbreaker;2
"a classic education";babyshambles;1
"a cloud mireya";blockhead;1
"a common ground";beatsteaks;1
"a covenant of thorns";"stevie wonder";1
"a cuckoo";"antony and the johnsons";1
"a cursive memory";"jimmy eat world";2
"a dark halo";"sonata arctica";2
"a day and a deathwish";botch;1
"a day at the fair";hoobastank;1
"a day away";48may;1
"a day in black and white";pg.99;2
"a day in the life";"36 crazyfists";1
"a day to remember";"linkin park";14
"a days refrain";"christian death";1
"a dead giveaway";65daysofstatic;1
"a death in the family";"fucked up";2
"a different breed of killer";"rose funeral";2
"a dozen furies";atreyu;2
"a dream too late";aqualung;1
"a drop in the gray";"kristin hersh";1
"a dying dream";"carry on";1
"a filetta";"amy winehouse";1
"a filial";aditive;1
"a fine boat, that coffin!";"across five aprils";1
"a fine frenzy";"katy perry";9
"a fistful of dynamite";chixdiggit!;1
"a flock of seagulls";"dire straits";4
"a forest called mulu";flexitones;1
"a forest mighty black";beanfield;3
"a frames";"the beatles";2
"a girl a gun a ghost";emarosa;2
"a girl called eddy";air;1
"a global threat";7seconds;2
"a great big pile of leaves";"bang camaro";1
"a gun called tension";buckethead;1
"a guy called gerald";"a certain ratio";2
"a halo called fred";"alice cooper";1
"a hawk and a hacksaw";beirut;4
"a hawk and a hacksaw and the hun hangár ensemble";"antônio carlos jobim";1
"a heartwell ending";"cansei de ser sexy";2
"a hero a fake";architects;1
"a hero from a thousand paces";"all time low";1
"a hope for home";"a loss for words";1
"a house";"crowded house";1
"a hundred birds";311;1
"a hundred times beloved";air;1
"a ii z";apocalyptica;1
"a jealousy issue";"7 angels 7 plagues";1
"a jigsaw";calexico;1
"a journey down the well";ac/dc;1
"a kid hereafter in the grinding light";akphaezya;1
"a kidnap in color";"armor for sleep";1
"a kiss could be deadly";"acres of lions";1
"a kiss for jersey";emarosa;1
"a la via!";"die galgenvögel";1
"a life a song a cigarette";+44;1
"a life once lost";"the black dahlia murder";4
"a lifeless alliance";afi;1
"a light in the attic";"bodies in the gears of the apparatus";1
"a lily";apparat;1
"a long winter";alexisonfire;1
"a loss for words";"our last night";2
"a love ends suicide";adema;1
"a love like pi";architects;1
"a made up sound";"1000 names";1
"a man called adam";air;2
"a million billion";aerosmith;1
"a minor forest";"aphex twin";1
"a moment's worth";fishbone;1
"a mountain of one";"kate bush";2
"a mulekada";"iron maiden";1
"a murder of angels";bathory;1
"a naifa";deolinda;3
"a new dawn";"phil collins";1
"a new found glory";"rx bandits";1
"a new funky generation";"charlie brown jr.";1
"a new january";descendents;1
"a new kind of american saint";"enter shikari";1
"a night in the box";"death cab for cutie";1
"a northern chorus";"art of fighting";1
"a palo seko";"amon amarth";1
"a paper cup band";"animal collective";1
"a peace of ebony";"amadou & mariam";1
"a perfect circle";tool;68
"a perfect kiss";mewithoutyou;2
"a perfect murder";static-x;2
"a place to bury strangers";"joy division";5
"a plea for purging";amesoeurs;1
"a plus d";"au revoir simone";1
"a poor excuse";"johnny cash";1
"a positive life";"fila brazillia";1
"a produce";"ben woods";1
"a r rahman & m.i.a.";"daft punk";1
"a race called man";"agape international choir";1
"a radio with guts";22-pistepirkko;1
"a ragamuffin band";"kathryn scott";1
"a red season shade";"face tomorrow";1
"a reminiscent drive";air;2
"a rocket in dub";"basic channel";1
"a rocket to the moon";"dance gavin dance";4
"a room with a view";"boards of canada";2
"a scholar & a physician";"hot chip";1
"a scholar and a physician";"i am robot and proud";1
"a season drive";"christopher bernhard";1
"a second chance";"beastie boys";1
"a secret death";alexisonfire;1
"a shoreline dream";"a silver mt. zion";1
"a silent fiction";alexisonfire;1
"a silent film";"amanda palmer";1
"a silver mt. zion";"godspeed you! black emperor";10
"a skylit drive";"the devil wears prada";7
"a small good thing";"arizona amp and alternator";1
"a small victory";"akira yamaoka";1
"a smile and a ribbon";"foo fighters";1
"a sorrowful dream";autumnia;1
"a spectre is haunting europe";"the cure";2
"a spell inside";[:sitd:];1
"a split second";4hero;1
"a split-second";fixmer/mccarthy;2
"a spoon called phranc";coldplay;1
"a state of mind";capetown;1
"a state of trance";"john dahlbäck";1
"a static lullaby";underoath;7
"a step apart";"asshole parade";1
"a storm of light";neurosis;3
"a studio";"amon tobin";1
"a sunny day in glasgow";múm;3
"a swarm of the sun";*shels;1
"a taste of honey";"ann peebles";1
"a textbook tragedy";adolescents;1
"a thorn for every heart";"a static lullaby";4
"a thousand falling skies";"beneath the sky";1
"a thousand fuegos";fotos;1
"a thousand times repent";"at the throne of judgment";1
"a thousand years slavery";"arsonists get all the girls";1
"a touch of class";"ace of base";1
"a toys orchestra";radiohead;3
"a traitor like judas";"as i lay dying";2
"a tribe called quest";nas;25
"Á túr";"animal collective";1
"a turma do balão mágico";"boyce avenue";1
"a vida azul";akmusique;1
"a weather";"aphex twin";1
"a well thought tragedy";"ellen allien & apparat";1
"a whisper in the noise";interpol;2
"a wilhelm scream";"rise against";8
a-do;atmosphere;1
a-europa;"breaking benjamin";1
a-ha;"depeche mode";13
a-la-carte;"amy winehouse";1
a-lusion;cascada;2
a-moe;"aqua timez";1
a-ok;"bad astronaut";1
a-plus;"50 cent";1
a-rise;finntroll;2
a-rühm;aim;1
a-sides;"alix perez";1
a-team;"99th floor elevators";1
a-trak;"spank rock";4
a:xus;aquanote;1
"a. a. milne";"andrew hill";1
"a. aallon rytmiorkesteri";hurriganes;2
"a. gerasimov";"dj jeff";1
"a. paul";"eric sneo";1
"a. r. rahman";"adnan sami";1
"a. r. rahman & the pussycat dolls";"kelly clarkson";1
"a. r. rahman, m.i.a.";arnej;1
"a. skillz & krafty kuts";logistics;1
"a.a. bondy";"bob dylan";3
a.a.a.;"cypress hill";1
a.a.v.v.;blitzoids;1
a.armada;"hot cross";1
"a.b. didgeridoo oblivion";abomination;1
a.b.n.;cormega;2
"a.c. 8100";animosity;1
"a.c. acoustics";"bloc party";1
"a.c. jobim";"bebel gilberto";1
"a.c. marias";"colin newman";1
"a.c. newman";"the new pornographers";6
"a.c. temple";abba;1
